Stops Name,Latitude,Longitude
A.I.I.M.S.,28.5672,77.21
Africa Avenue,28.5574,77.2177
AIIMS Bus Station,28.5692,77.2127
Andrews Ganj,28.5627,77.2276
Apollo Hospital,28.5413,77.2832
Aradhana Enclave,28.5745,77.1786
Ashram Chowk,28.5754,77.2556
Badarpur Border,28.5287,77.2882
Barar Square,28.6123,77.1392
Bhogal,28.584,77.2484
Britannia chowk,28.6831,77.1461
Cod Ring Road,28.6129,77.1366
Dhaula Kuan,28.5956,77.1628
East Punjabi Bagh,28.6697,77.1471
Esi Hospital,28.6584,77.1286
Gairison Eng.,28.6051,77.1468
Gupta Market,28.6178,76.9769
Hyatt Hotel,28.5691,77.1857
Ishwar Nagar,28.56,77.2671
Jal Vihar Terminal,28.5784,77.2461
Jheel Terminal,28.6585,77.2723
Lajpat Nagar Ring Road,28.6139,77.209
Maharani Bagh (Ashram),28.5749,77.2623
Mayapuri Chowk,28.6374,77.13
Moolchand Hospital,28.5656,77.2357
Moti Bagh Gurudwara Nanakpura,28.5837,77.1728
Naraina,28.632,77.1389
Naraina Village,28.632,77.1389
Nehru Nagar,28.5639,77.2608
Nehru Place,28.5503,77.2502
Nehru Place Terminal,28.5484,77.2556
New Delhi Railway Station Gate 1,28.6417,77.2186
New Delhi Railway Station Gate 2,28.6429,77.2191
Nizamuddin Railway Station,28.5889,77.2534
North Moti Bagh,28.5836,77.1758
Okhla Tank,28.5484,77.2766
Old Delhi Railway Station,28.6606,77.2271
PG DAV College / Sri Niwaspuri,28.5666,77.2513
Punjabi Bagh,28.662,77.1242
Punjabi Bagh Club,28.6659,77.1313
Punjabi Bagh Crossing,28.6697,77.1471
R R Line,28.6042,77.1554
Raj Nagar,28.5795,77.0823
Rajdhani College / Raja Garden,28.6547,77.1259
Rajouri Garden Market,28.6417,77.1225
Rk Puram Sec-13,28.5737,77.1812
Safdurjung Terminal,28.5797,77.214
Sarai Kale Khan,28.5906,77.2606
Sarita Vihar Metro Station,28.5287,77.2882
Satya Niketan Dhaula Kuan,28.5876,77.169
Shakurpur Village,28.6857,77.1425
Shiv Mandir Shakurpur,28.6811,77.1341
Shivaji Stadium Terminal,28.633,77.2151
SJ Hospital,28.5659,77.2111
South Extension,28.5687,77.221
South Moti Bagh (Ring Road),28.6139,77.209
Sukhdev Vihar Depot,28.5546,77.2717
Telephone Exchange,28.6448,77.21672
Wazirpur Flyover,28.70162,77.16424